1A,3MMAI,Analyse pour l'ingénieur
1A,3MMANGS1,Anglais
1A,3MMARCHI,Architecture : circuits numériques et éléments d'architecture
1A,3MMBPI,Bases de la programmation impérative
1A,3MMCFM,Conférences métiers de l'ingénieur
1A,3MMEG,Economie générale
1A,3MMEPSS1,"Activités physiques, sportives et artistiques"
1A,3MMGE,Gestion d'entreprise
1A,3MMIFM,Introduction à la formalisation en mathématiques
1A,3MMMAPS1,Module d'accompagnement professionnel sem. 1
1A,3MMPA1,Probabilités appliquées
1A,3MMSALG,Soutien en algorithmique et programmation
1A,3MMSANA,Soutien en analyse
1A,3MMSECU,Sécurité
1A,3MMTINF,Théorie de l'information
1A,3MMTL1,Théorie des langages 1
1A,3MMUNIX,Unix : introduction et programmation shell
1A,3MMALLS1,LV2
1A,3MMEEV,L'éthique et vous
1A,3MMSAS1,Soutien en anglais
1A,3MMTANS1,Projet TANDEM
2A IF,4MMANGS1,Anglais
2A IF,4MMAOD6,Algorithmique et optimisation discrète
2A IF,4MMEPSS1,"Activités physiques, sportives et artistiques"
2A IF,4MMGDPGL,Gestion de projet de génie logiciel
2A IF,4MMIFEE6,"Investissement, Financement et Evaluation d'Entreprises"
2A IF,4MMPBD,Projet BD
2A IF,4MMPGL6,Projet génie logiciel
2A IF,4MMPOO6,Programmation orientée objet
2A IF,4MMPPIP,Projet personnel et integration professionnelle
2A IF,4MMPSAF6,Processus stochastique et applications financières 
2A IF,4MMPSGBD,Principes des systemes de gestion de bases de donnees
2A IF,4MMSEPC,Système d'exploitation et programmation concurrente
2A IF,4MMTF4,Théorie financière
2A IF,4MMALLS1,LV2
2A IF,4MMCECA1,Création d'entreprise et création d'activite
2A IF,4MMMOS1,Management des organisations
2A IF,4MMMTA,Le marché : théorie et applications
2A IF,4MMSANG,Soutien en anglais
2A IF,4MMSM,Stratégie - Marketing
2A IF,4MMTANS1,Projet TANDEM
2A ISI,4MMANGS1,Anglais
2A ISI,4MMAOD6,Algorithmique et optimisation discrète
