"Timestamp","4MMANGS1 - Qualité globale de l'enseignement :","4MMANGS1 - Qualité des supports de l'enseignement :","4MMANGS1 - Pertinence de l'enseignement dans le cursus:","4MMANGS1 - Commentaires:","4MMAOD6 - Qualité globale de l'enseignement :","4MMAOD6 - Qualité des supports de l'enseignement :","4MMAOD6 - Pertinence de l'enseignement dans le cursus:","4MMAOD6 - Commentaires:","4MMEPSS1 - Qualité globale de l'enseignement :","4MMEPSS1 - Qualité des supports de l'enseignement :","4MMEPSS1 - Pertinence de l'enseignement dans le cursus:","4MMEPSS1 - Commentaires:","4MMGDPGL - Qualité globale de l'enseignement :","4MMGDPGL - Qualité des supports de l'enseignement :","4MMGDPGL - Pertinence de l'enseignement dans le cursus:","4MMGDPGL - Commentaires:","4MMIFEE6 - Qualité globale de l'enseignement :","4MMIFEE6 - Qualité des supports de l'enseignement :","4MMIFEE6 - Pertinence de l'enseignement dans le cursus:","4MMIFEE6 - Commentaires:","4MMPBD - Qualité globale de l'enseignement :","4MMPBD - Qualité des supports de l'enseignement :","4MMPBD - Pertinence de l'enseignement dans le cursus:","4MMPBD - Commentaires:","4MMPGL6 - Qualité globale de l'enseignement :","4MMPGL6 - Qualité des supports de l'enseignement :","4MMPGL6 - Pertinence de l'enseignement dans le cursus:","4MMPGL6 - Commentaires:","4MMPOO6 - Qualité globale de l'enseignement :","4MMPOO6 - Qualité des supports de l'enseignement :","4MMPOO6 - Pertinence de l'enseignement dans le cursus:","4MMPOO6 - Commentaires:","4MMPPIP - Qualité globale de l'enseignement :","4MMPPIP - Qualité des supports de l'enseignement :","4MMPPIP - Pertinence de l'enseignement dans le cursus:","4MMPPIP - Commentaires:","4MMPSAF6 - Qualité globale de l'enseignement :","4MMPSAF6 - Qualité des supports de l'enseignement :","4MMPSAF6 - Pertinence de l'enseignement dans le cursus:","4MMPSAF6 - Commentaires:","4MMPSGBD - Qualité globale de l'enseignement :","4MMPSGBD - Qualité des supports de l'enseignement :","4MMPSGBD - Pertinence de l'enseignement dans le cursus:","4MMPSGBD - Commentaires:","4MMSEPC - Qualité globale de l'enseignement :","4MMSEPC - Qualité des supports de l'enseignement :","4MMSEPC - Pertinence de l'enseignement dans le cursus:","4MMSEPC - Commentaires:","4MMTF4 - Qualité globale de l'enseignement :","4MMTF4 - Qualité des supports de l'enseignement :","4MMTF4 - Pertinence de l'enseignement dans le cursus:","4MMTF4 - Commentaires:","4MMALLS1 - Ce cours faisait-il partie de tes options ?","4MMALLS1 - Qualité globale de l'enseignement :","4MMALLS1 - Qualité des supports de l'enseignement :","4MMALLS1 - Pertinence de l'enseignement dans le cursus:","4MMALLS1 - Commentaires:","4MMCECA1 - Ce cours faisait-il partie de tes options ?","4MMCECA1 - Qualité globale de l'enseignement :","4MMCECA1 - Qualité des supports de l'enseignement :","4MMCECA1 - Pertinence de l'enseignement dans le cursus:","4MMCECA1 - Commentaires:","4MMMOS1 - Ce cours faisait-il partie de tes options ?","4MMMOS1 - Qualité globale de l'enseignement :","4MMMOS1 - Qualité des supports de l'enseignement :","4MMMOS1 - Pertinence de l'enseignement dans le cursus:","4MMMOS1 - Commentaires:","4MMMTA - Ce cours faisait-il partie de tes options ?","4MMMTA - Qualité globale de l'enseignement :","4MMMTA - Qualité des supports de l'enseignement :","4MMMTA - Pertinence de l'enseignement dans le cursus:","4MMMTA - Commentaires:","4MMSANG - Ce cours faisait-il partie de tes options ?","4MMSANG - Qualité globale de l'enseignement :","4MMSANG - Qualité des supports de l'enseignement :","4MMSANG - Pertinence de l'enseignement dans le cursus:","4MMSANG - Commentaires:","4MMSM - Ce cours faisait-il partie de tes options ?","4MMSM - Qualité globale de l'enseignement :","4MMSM - Qualité des supports de l'enseignement :","4MMSM - Pertinence de l'enseignement dans le cursus:","4MMSM - Commentaires:","4MMTANS1 - Ce cours faisait-il partie de tes options ?","4MMTANS1 - Qualité globale de l'enseignement :","4MMTANS1 - Qualité des supports de l'enseignement :","4MMTANS1 - Pertinence de l'enseignement dans le cursus:","4MMTANS1 - Commentaires:","2AIF - Le semestre passé a-t-il globalement correspondu à tes attentes ?","2AIF - Les différents modules sont bien équilibrés.","2AIF - Commentaires:"
"2017/01/18 12:10:19 pm CET","4","5","3","","5","4","4","","4","2","4","","3","4","2","","5","5","5","","4","4","5","","4","3","5","","5","6","5","","4","3","5","","2","4","5","","4","5","5","","3","3","4","","2","1","5","","Oui","4","4","4","","Non","","","","","Oui","4","4","4","","Non","","","","","Non","","","","","Oui","4","4","4","","Non","","","","","2","2",""
"2017/01/18 1:12:03 pm CET","3","2","2","Les supports de cours d'anglais sont aléatoires selon les groupes,et les choix des sujets abordés semblent plus ou moins pris au hasard,il ne ressort aucune continuité dans l'enseignement suivi durant le semestre.Le tout a un goût de décousu.","2","2","5","Les cours d'algorithmique sont assez denses,et on a pas le temps d'approfondir les notions abordées en cours qu'elles ont déjà évoluées.","2","2","3","","2","2","4","","4","4","4","","4","4","4","","4","4","4","","4","4","4","","2","3","3","","6","6","6","ce cours est aussi bon que le professeur est bon enseignant.C'est un plaisir.","4","5","5","","3","3","3","Il est difficile d'approfondir les notions de ce cours avec des TDs aussi peu réguliers","1","1","6","Ce cours est censé être un pilier pour démarrer l'apprentissage de la finance"".Néanmoins,le cours est difficile à suivre,à comprendre,et à restituer.Le proffesseur ne fait pas beaucoup d'efforts pour savoir si les eleves suivent,ce qui cause un gros décalage entre l'avancement du prof et celui des eleves...","Non","","","","","Non","","","","","Oui","2","2","1","","Oui","1","1","3","Le cours est un peu décousu ","Non","","","","","Oui","1","1","3","","Non","","","","","4","2",""
"2017/01/18 2:21:30 pm CET","3","3","6","","2","4","4","","4","4","3","","4","4","4","","5","2","5","","3","3","5","","6","6","5","","6","6","6","","1","1","5","","3","2","3","","4","5","5","","5","5","3","","6","2","6","","Non","","","","","Oui","4","4","4","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","4","2",""
"2017/01/18 2:45:30 pm CET","4","5","4","","4","5","5","","6","6","6","","4","3","4","","5","5","5","","4","4","3","","3","3","3","","6","6","6","","3","2","5","","5","5","6","","3","4","3","","5","5","5","","1","1","6","","Non","","","","","Non","","","","","Oui","2","2","4","","Oui","5","3","5","Le cours était très mal placé dans l'emploi du temps ce qui le rendait difficile à suivre.","Non","","","","","Oui","4","5","3","","Non","","","","","3","5",""
"2017/01/18 3:15:33 pm CET","4","4","4","Les profs sont sympa en moyenne, ils font des efforts pour rendre les sujets étudiés intéressant.","4","5","4","TD corrigé sur Chamilo : pratique si on n'a pas bien compris un point du cours.","5","4","3","Trop peu de plages horaires compatibles avec notre EDT.
Le sport ne devrait pas être obligatoire si on ne peut pas choisir le sport que l'on veut faire.","5","4","4","","4","3","4","Le cours est intéressant, cependant plus de TD corrigés sur Chamilo serait souhaitable.","5","5","5","Projet bien expliqué.","5","3","5","Le poly du projet pourrait beaucoup mieux expliquer le projet : le rapport entre le code concret et la théorie, etc","6","5","6","Supports de cours sur Chamilo complets, et en plus Chabanas est un super prof, bref très bon cours !","2","2","2","Les conférences métiers ne devraient pas être obligatoires si on ne veut pas y assister.","5","3","5","Un polycopié en LaTeX pour ce cours serait la TRÈS bienvenue !","4","3","5","","4","2","3","Les sujets de TD ne sont pas upload sur Chamilo (si on perd les polys c'est embettant...)

Le prof a des corrigés de TD qu'il utilise pour les séances et refuse de les upload sur Chamilo, c'est dommage d'autant plus qu'on a jamais le temps de finir de les corriger en cours...","2","1","4","Cours le plus important en IF et paradoxalement le plus mal enseigné !!!
AUCUN SUPPORT DE COURS SUR CHAMILO !!!
Ce cours (et le prof qui l'enseigne) est un scandale.","Non","","","","","Non","","","","","Oui","3","2","1","On a eu que 2 séances et 1 DM. Ce cours n'apporte pas grand chose, il vaudrait mieux le remplacer voire le supprimer pour laisser plus de temps aux cours importants.","Oui","4","3","3","Le prof sait rendre son cours intéressant !","Non","","","","","Oui","3","3","3","","Non","","","","","3","3","Vraiment faites quelque chose pour le cours de TF, ce n'est pas normal que le cours de la filière qui porte son nom soit aussi mal enseigné et avec AUCUN supports de cours !"
"2017/01/18 5:41:42 pm CET","5","5","5","","5","6","6","","5","6","4","","5","5","6","","6","6","6","","5","5","5","","6","6","6","","5","6","6","","3","3","1","","4","4","6","","6","6","6","","5","5","3","","6","6","6","","Oui","6","6","6","","Non","","","","","Oui","3","4","3","","Oui","6","6","6","","Non","","","","","Oui","5","5","5","","Non","","","","","4","4",""
"2017/01/18 10:35:45 pm CET","5","4","2","Etant bilingue le cours n'est pas très utile, mais j'y passe quand même des moments agréables donc ce n'est pas très grave.","2","4","5","Les slides ne sont pas tres clairs!","2","4","4","Le système pour choisir en ligne a été un gros échec!","2","3","2","","4","5","5","","1","3","4","","3","5","4","Bonne approche pour apprendre le travail en groupe, trop de cours la premiere semaine...","5","6","6","Contente","3","3","3","","1","3","6","","3","2","5","","4","5","2","","3","1","6","Cours tres monotone","Oui","3","4","1","Bilingue en allemand donc cours peu utile..","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","3","2","Pour une filière ""finance"" je trouve que 4 cours d'info, 1 d'economie et 2 de finance n'est pas tres équilibré/orienté mathématiques financières"
"2017/01/20 11:35:11 am CET","5","6","4","","4","4","3","","5","6","6","","5","5","5","","2","2","2","","4","4","6","","5","5","5","","6","5","6","","2","3","2","","1","2","3","","5","4","6","","3","2","4","","1","1","1","","Non","","","","","Non","","","","","Oui","4","5","5","","Oui","5","5","5","","Non","","","","","Oui","5","4","3","","Non","","","","","1","1",""
"2017/01/24 12:01:28 pm CET","5","4","4","","4","4","4","","5","4","4","","6","6","6","","6","6","6","","5","4","4","","6","6","6","","5","5","5","","3","4","3","","4","3","5","","4","4","4","","4","4","3","","6","6","6","","Oui","6","6","6","","Oui","6","5","6","","Non","","","","","Oui","4","4","4","","Non","","","","","Non","","","","","Non","","","","","5","3",""
"2017/01/24 12:23:42 pm CET","3","3","3","","1","1","1","","3","3","3","","4","1","5","Le poly n'est pas assez clair, et pas bien organisé. Il faudait peut etre faire plusieurs polycopiés : une partie sujet, un partie consigne de rendus, une partie 1ere séance machine. Cela fait perdre beaucoup de temps de manquer de certaines informations qui sont noyées dans d'autres.","3","3","3","","6","6","6","","4","4","4","","5","5","5","","1","1","1","","6","6","6","","6","6","6","","1","1","1","","6","5","6","","Non","","","","","Oui","6","6","6","","Non","","","","","Oui","6","6","6","","Non","","","","","Non","","","","","Non","","","","","4","1",""
