"Timestamp","4MMANGS1 - Qualité globale de l'enseignement :","4MMANGS1 - Qualité des supports de l'enseignement :","4MMANGS1 - Pertinence de l'enseignement dans le cursus:","4MMANGS1 - Commentaires:","4MMAOD6 - Qualité globale de l'enseignement :","4MMAOD6 - Qualité des supports de l'enseignement :","4MMAOD6 - Pertinence de l'enseignement dans le cursus:","4MMAOD6 - Commentaires:","4MMEPSS1 - Qualité globale de l'enseignement :","4MMEPSS1 - Qualité des supports de l'enseignement :","4MMEPSS1 - Pertinence de l'enseignement dans le cursus:","4MMEPSS1 - Commentaires:","4MMFLI - Qualité globale de l'enseignement :","4MMFLI - Qualité des supports de l'enseignement :","4MMFLI - Pertinence de l'enseignement dans le cursus:","4MMFLI - Commentaires:","4MMGDPGL - Qualité globale de l'enseignement :","4MMGDPGL - Qualité des supports de l'enseignement :","4MMGDPGL - Pertinence de l'enseignement dans le cursus:","4MMGDPGL - Commentaires:","4MMPBD - Qualité globale de l'enseignement :","4MMPBD - Qualité des supports de l'enseignement :","4MMPBD - Pertinence de l'enseignement dans le cursus:","4MMPBD - Commentaires:","4MMPCSEF - Qualité globale de l'enseignement :","4MMPCSEF - Qualité des supports de l'enseignement :","4MMPCSEF - Pertinence de l'enseignement dans le cursus:","4MMPCSEF - Commentaires:","4MMPDI - Qualité globale de l'enseignement :","4MMPDI - Qualité des supports de l'enseignement :","4MMPDI - Pertinence de l'enseignement dans le cursus:","4MMPDI - Commentaires:","4MMPGL6 - Qualité globale de l'enseignement :","4MMPGL6 - Qualité des supports de l'enseignement :","4MMPGL6 - Pertinence de l'enseignement dans le cursus:","4MMPGL6 - Commentaires:","4MMPOO6 - Qualité globale de l'enseignement :","4MMPOO6 - Qualité des supports de l'enseignement :","4MMPOO6 - Pertinence de l'enseignement dans le cursus:","4MMPOO6 - Commentaires:","4MMPPIP - Qualité globale de l'enseignement :","4MMPPIP - Qualité des supports de l'enseignement :","4MMPPIP - Pertinence de l'enseignement dans le cursus:","4MMPPIP - Commentaires:","4MMPSGBD - Qualité globale de l'enseignement :","4MMPSGBD - Qualité des supports de l'enseignement :","4MMPSGBD - Pertinence de l'enseignement dans le cursus:","4MMPSGBD - Commentaires:","4MMSEPC - Qualité globale de l'enseignement :","4MMSEPC - Qualité des supports de l'enseignement :","4MMSEPC - Pertinence de l'enseignement dans le cursus:","4MMSEPC - Commentaires:","4MMALLS1 - Ce cours faisait-il partie de tes options ?","4MMALLS1 - Qualité globale de l'enseignement :","4MMALLS1 - Qualité des supports de l'enseignement :","4MMALLS1 - Pertinence de l'enseignement dans le cursus:","4MMALLS1 - Commentaires:","4MMCECA1 - Ce cours faisait-il partie de tes options ?","4MMCECA1 - Qualité globale de l'enseignement :","4MMCECA1 - Qualité des supports de l'enseignement :","4MMCECA1 - Pertinence de l'enseignement dans le cursus:","4MMCECA1 - Commentaires:","4MMMOS1 - Ce cours faisait-il partie de tes options ?","4MMMOS1 - Qualité globale de l'enseignement :","4MMMOS1 - Qualité des supports de l'enseignement :","4MMMOS1 - Pertinence de l'enseignement dans le cursus:","4MMMOS1 - Commentaires:","4MMMTA - Ce cours faisait-il partie de tes options ?","4MMMTA - Qualité globale de l'enseignement :","4MMMTA - Qualité des supports de l'enseignement :","4MMMTA - Pertinence de l'enseignement dans le cursus:","4MMMTA - Commentaires:","4MMSANG - Ce cours faisait-il partie de tes options ?","4MMSANG - Qualité globale de l'enseignement :","4MMSANG - Qualité des supports de l'enseignement :","4MMSANG - Pertinence de l'enseignement dans le cursus:","4MMSANG - Commentaires:","4MMSM - Ce cours faisait-il partie de tes options ?","4MMSM - Qualité globale de l'enseignement :","4MMSM - Qualité des supports de l'enseignement :","4MMSM - Pertinence de l'enseignement dans le cursus:","4MMSM - Commentaires:","4MMTANS1 - Ce cours faisait-il partie de tes options ?","4MMTANS1 - Qualité globale de l'enseignement :","4MMTANS1 - Qualité des supports de l'enseignement :","4MMTANS1 - Pertinence de l'enseignement dans le cursus:","4MMTANS1 - Commentaires:","2AISI - Le semestre passé a-t-il globalement correspondu à tes attentes ?","2AISI - Les différents modules sont bien équilibrés.","2AISI - Commentaires:"
"2017/01/18 4:23:09 pm CET","4","5","5","","1","4","3","","3","3","3","","4","5","2","","3","3","3","","2","3","5","","5","5","4","","4","2","4","","2","4","5","","6","6","6","","4","2","4","","4","4","5","","5","5","4","","Non","","","","","Oui","3","3","3","","Non","","","","","Oui","3","4","2","","Non","","","","","Non","","","","","Non","","","","","3","2",""
"2017/01/18 5:06:50 pm CET","3","6","5","","5","5","6","","6","6","3","","5","6","5","","4","5","6","","4","4","6","","6","6","4","","5","5","4","","5","6","6","","6","6","6","","3","3","1","","5","6","6","","6","4","6","","Non","","","","","Non","","","","","Oui","1","2","2","","Oui","6","4","5","","Non","","","","","Oui","3","4","2","","Non","","","","","5","5",""
"2017/01/18 8:51:26 pm CET","3","3","3","","6","4","6","","6","6","1","","2","3","4","","6","6","6","","3","2","6","","6","6","6","","2","2","6","","6","6","6","","6","6","6","","4","4","5","","6","2","6","","6","6","6","","Oui","3","5","3","","Non","","","","","","5","5","1","","Non","","","","","Non","","","","","Oui","5","5","1","","Non","","","","","5","6","Très bonne filière. Un peu déçu par le prof de Principe de l'Internet et par l'exam de FLI (car certains exos de l'exam n'avaient jamais été vu en cours)"
"2017/01/18 9:33:55 pm CET","5","4","4","","3","2","5","Cours essentiel au développement d'algorithmes, mais en CM les slides ne sont pas assez élaborés","4","2","3","Problèmes en début d'année pour l'inscription. Enseignement pas très pertinent étant donné que beaucoup d'étudiants pratiquent déjà un sport en dehors des cours","3","4","4","Matière assez intéressante. Les supports contiennent beaucoup de diapos ""inutiles"".","4","4","5","","4","4","6","","6","6","6","Matière très intéressante, guidée et beaucoup d'informations sont disponibles sur la page chamillo","5","6","5","Matière très intéressante. La qualité globale de l'enseignement est bonne, mais j'aurais préféré des Cours/TD séparés","5","5","6","","5","6","6","","4","4","5","","3","3","5","","4","5","6","Matière très importante dans la filière. Les supports de cours pourraient être plus élaborés.","Non","","","","","Non","","","","","Oui","4","3","3","","Oui","6","6","5","Cours très intéressant. Beaucoup de supports sur chamillo et le prof conseille des articles supplémentaires. Le cours permet d'augmenter sa culture générale.","Non","","","","","Oui","3","4","4","","Non","","","","","4","4","La filière correspond à ce à quoi je m'attendais. J'aurais préféré approfondir d'autres matières (SEPC) en dépit d'autres (Logique ou Reseaux)"
"2017/01/18 10:48:24 pm CET","4","6","6","Malgré un regret du choix d'avoir choisir le cours d'entraînement au TOEIC, le cours a quand même su avoir de la diversité en dehors des heures d'entraînement malgré un manque de participation et d'entraint du groupe qui ne reflète pas la qualité de l'enseignement. ","5","6","6","Cours qui se révèle très intéressant lorsque l'on va au delà de la partie théorique. Un peu plus de pratique aurait été bénéfique à la compression et rendu le cours un peu plus ludique. ","6","6","3","","3","6","6","Ce cours présente une grande difficulté dans son intégralité au premier semestre. Il aurait été bénéfique de le séparer en deux cours à chaque semestre à l'instar de la TL. Sinon, le principe des TD avec exercices corrigés et l'aide apporté lors de la correction ou à la moindre question a pu permettre d'éviter la catastrophe. ","5","6","6","","6","6","6","","6","6","6","Cours très intéressant avec une bonne marge de progression. La réalisation du projet a été très intéressante.","5","6","6","L'essai des questionnaires et du cours avancé est intéressant et bénéfique. Il est dommage qu'il n'ait durée que les trois premières semaines. (HS: il est regrettable que le sujet det l'examen de TP  n'ait consisté qu'a copié bêtement les commandes des TP sans plus d'explications ou d'ouverture. ) ","6","6","6","J'avais peur qu'à l'instar des projet de 1A il laisse un sentiment de vide mais le projet est plutôt complet, se révèle difficile sans être insurmontable et l'extension permet un lâché prise rarement présent dans un projet jusqu'alors.  ","6","6","6","Très intéressant mais trop basique et beaucoup de concept ne sont pas énoncés. Il aurait été intéressant d'avoir un peu plus de contenu sous la dent pour ceux qui en avait déjà fait. ","6","6","6","","5","4","6","","6","4","6","Cours très intéressant. Rien à redire. ","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","6","3","L'ensemble des modules sont équilibrés hormi celui contenant Principes Logiques qui aurait dû être séparé en deux pour pouvoir être à la fois approfondi et laisser le temps de se familiariser avec les notions. "
"2017/01/22 8:53:42 pm CET","4","2","5","Très bonne note sur la pertinence de l'enseignement, car l'anglais est très important, mais la qualité du cours est en deçà de mes attentes, qui sont certainement un peu trop élevées. Je préférais un cours plus ""académique"" mais ce n'est surement pas un sentiment partagé par la majorité.","5","5","6","Cours très intéressant et très pertinent, dommage pour le créneau horaire de 17h à 18h30 qui rend malgré tout le cours plus difficile à suivre, surtout qu'il s'agit d'un cours dans lequel on apprend beaucoup de choses. Les Tds étaient de très bonne qualité, mais certains CMs étaient un peu trop indigestes, trop de contenu.","5","5","5","","6","6","4","Je ne suis pas certain de la pertinence de ce cours, j'ai bien aimé les TDs et les CMs, même s'ils étaient un peu difficiles à suivre. Je vois en gros le domaine dans lequel ce cours peut être utile, mais je ne suis vraiment pas certain des applications possibles.","3","4","4","","6","4","6","","6","6","6","","1","1","1","Particulièrement inutile, principalement à cause de l'évaluation sans documents, apprendre des algorithmes de communication réseau par cœur est vide de sens. La correction des TDs a été donné un jour avant le partiel, mauvaise organisation  pendant les TD.","5","3","6","","6","6","6","","2","3","1","","6","6","6","","6","5","6","","Non","","","","","Non","","","","","Oui","1","1","1","","Oui","4","1","4","J'aurais préféré un cours plus poussé, un vrai cours d'économiste avec un formalisme mathématique rigoureux. Certainement inutile pour la majorité cependant. Je n'ai jamais vu des supports aussi indigestes.","Non","","","","","Oui","4","4","1","","Non","","","","","5","5","Quelques défauts, les cours de marketing/management toujours aussi inutiles qu'ils l'étaient en 1A, le cours de ""Principes de l'internet"" particulièrement mauvais, surtout à cause de l'évaluation sans documents."
"2017/01/24 11:57:30 am CET","5","5","5","","1","1","4","Cours plus qu'ennuyeux .... Avec des slides qui n'ont pas grand intérêt, dommage car la matière est pertinente","5","5","5","Choix des sports vraiment limité. Il serait bien que l'imag prenne le temps de construire un emploi du temps fixe pour le semestre afin que les élèves puissent choisir un sport qui les intéressent. Car actuellement dire aux élèves ""vos creneaux pour le sport sont tous les soirs à partir de 19h et le jeudi aprem"" dans le but de se protéger de tout souci d'emploi du temps n'est pas très correct.
Cela oblige à choisir une activité en fonction des horaires et des places restante et non en fonction de nos intérêts.","1","2","1","Les slides sont vraiment compliqués à suivre pendant le cours. 
Cependant un plus pour les corrections détaillés des TD qui aident car la matière n'est vraiment pas facile.
Deception par rapport au contenu du partiel car en TD les exercices était plutôt calculatoire et au partiel on retrouve des énoncés du type ""Démontrez que"". Pas adapté à certain élèves qui n'ont pas forcement fait de classes préparatoire.","6","6","6","Ne pas avoir de poly dans une école comme l'ENSIMAG....","6","6","6","Le projet BD est une bonne chose","4","4","4","","5","5","5","","6","6","6","Ne pas avoir de poly dans une école comme l'ENSIMAG....","6","6","6","","4","4","4","","6","6","6","","4","4","4","","Non","","","","","Oui","3","3","4","Prendre des créneaux de 3h par semaine sur l'emploi du temps alors que la majorité du travail fournis est fait en dehors des cours est une perte de temps.","Non","","","","","Non","","","","","Oui","6","6","6","","Non","","","","","Non","","","","","3","5",""
"2017/01/24 12:22:29 pm CET","2","3","2","Trop peu de pratique de la langue durant les cours. Le niveau est trop hétérogène, ce qui fait que le cours n'avance pas. ","4","3","3","","5","5","4","Revoir l'attribution des sports pour ne pas refuser les étudiants sur tous les voeux !","3","4","5","L'examen est très décevant par rapport au contenu des cours suivis. Les exercices du partiel ne représentaient pas du tout ce qui a été appris en cours, nous n'avons pas été évalués sur les connaissances de TD, mais sur une toute petite partie des exercices.  ","4","4","3","","2","2","5","L'enseignant ne répondait pas aux questions de manière satisfaisante.","6","6","6","","2","4","4","Un gros manque de corrections des TD. Nous sommes livrés à nous-même durant les scéances de TD sans savoir si notre travail est vrai ou juste. Il a fallu demander aux autres groupes pour avoir des corrigés des execices et pouvoir réviser l'examen. ","2","4","6","Le poly est trop long, les informations s'y perdent. Il faudrait le scinder pour faire plusieurs polys et que ça soit plus clair. 
L'enseignant ne semblait pas en mesure de répondre à nos questions sur le projet. ","6","6","6","","2","2","4","","6","6","5","","5","5","5","","Oui","6","6","6","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","5","3",""
"2017/01/24 1:18:20 pm CET","5","4","6","Un programme utile et pertinent. Parfois beaucoup de documents et vidéos YouTube à étudier à la maison sans que ça soit vraiment exploité en classe, c'est un peu dommage. A part ça, pas de problème.","5","5","5","Très intéressant. Peut-être que davantage de TDs seraient utiles, pour la partie défauts de cache en particulier. Sinon, très utile d'avoir les corrections des TDs.","5","6","5","","5","6","6","Très intéressant ! Un cours pas si difficile (contrairement à ce que j'entends), il suffit de venir en cours...","5","5","2","Je n'ai pas compris ce que ça pouvait apporter à l'organisation du projet GL, car trop ""thérorique"".","6","6","6","Projet très intéressant ! Cependant,  un suivi intermédiaire pas forcément utile (pour mon groupe en tout cas).","6","6","6","Projet très intéressant !","2","2","5","J'ai trouvé que l'organisation du cours ne fonctionnait pas du tout : le cours sur Chamilo est trop peu détaillé pour être autonome sur les exercices ; en TD, tout le monde a besoin du professeur pour expliquer une nuance, un cas particulier, et on passe beaucoup trop de temps à être coincé et à attendre le bras levé. 

Il me paraîtrait plus efficace d'inverser : utiliser les cours pour présenter les notions en détail (un CM), et nous laisser chercher les exercices à la maison (en gardant les permanences pour répondre aux questions). 
C'était un peu dommage, car le contenu du cours était intéressant. Les quiz sur Chamilo sont une très bonne idée : avec peut-être davantage de questions, ça permet de bien résumer les points clés du cours et s'assurer que tout est clair.","5","4","6","Un projet très formateur ! Quelques pistes d'amélioration : le premier suivi arrive beaucoup trop tôt pour vraiment être utile, on n'a étudié le sujet que partiellement après 48h de projet. De plus, les cours sont denses et nous sommes 'perdus' au début du projet, ce qui fait qu'on les reprend tous lorsqu'on a assimilé le sujet : les espacer, ou moins les détailler et laisser les diapos en ligne serait peut être plus pertinent.","5","6","6","Un cours intéressant, et des supports de cours résumant les notions clés de POO très utiles. En revanche, les revues par les pairs n'apportent à mon avis pas grand chose car comme la plupart des étudiants débutent, les commentaires sont rarement pertinents.","4","4","2","","5","5","6","Un cours très intéressant et bien construit ! Seule piste d'amélioration, les diapos gagneraient souvent en clarté en utilisant davantage d'exemples et moins de notations formelles.","6","6","6","Un cours très intéressant ! Utiliser les quiz en CM rend le cours dynamique, c'est une très bonne chose.","Oui","5","6","6","","Non","","","","","Oui","5","6","5","","Non","","","","","Non","","","","","Oui","5","6","4","","Non","","","","","6","6",""
"2017/01/24 2:27:11 pm CET","3","4","3","","4","4","5","","5","5","5","","4","4","4","","4","2","5","","3","3","5","","5","5","5","","3","3","4","","3","2","5","","2","3","6","","3","3","3","","4","5","5","","5","5","6","","Oui","1","2","4","","Non","","","","","Oui","4","4","4","","Non","","","","","Non","","","","","Oui","4","4","3","","Non","","","","","4","5",""
