"Timestamp","4MMANGS1 - Qualité globale de l'enseignement :","4MMANGS1 - Qualité des supports de l'enseignement :","4MMANGS1 - Pertinence de l'enseignements dans le cursus:","4MMANGS1 - Commentaires:","4MMCSR6 - Qualité globale de l'enseignement :","4MMCSR6 - Qualité des supports de l'enseignement :","4MMCSR6 - Pertinence de l'enseignements dans le cursus:","4MMCSR6 - Commentaires:","4MMEPSS1 - Qualité globale de l'enseignement :","4MMEPSS1 - Qualité des supports de l'enseignement :","4MMEPSS1 - Pertinence de l'enseignements dans le cursus:","4MMEPSS1 - Commentaires:","4MMGDPGL - Qualité globale de l'enseignement :","4MMGDPGL - Qualité des supports de l'enseignement :","4MMGDPGL - Pertinence de l'enseignements dans le cursus:","4MMGDPGL - Commentaires:","4MMPCSEF - Qualité globale de l'enseignement :","4MMPCSEF - Qualité des supports de l'enseignement :","4MMPCSEF - Pertinence de l'enseignements dans le cursus:","4MMPCSEF - Commentaires:","4MMPGL6 - Qualité globale de l'enseignement :","4MMPGL6 - Qualité des supports de l'enseignement :","4MMPGL6 - Pertinence de l'enseignements dans le cursus:","4MMPGL6 - Commentaires:","4MMPOO6 - Qualité globale de l'enseignement :","4MMPOO6 - Qualité des supports de l'enseignement :","4MMPOO6 - Pertinence de l'enseignements dans le cursus:","4MMPOO6 - Commentaires:","4MMPPIP - Qualité globale de l'enseignement :","4MMPPIP - Qualité des supports de l'enseignement :","4MMPPIP - Pertinence de l'enseignements dans le cursus:","4MMPPIP - Commentaires:","4MMRIP - Qualité globale de l'enseignement :","4MMRIP - Qualité des supports de l'enseignement :","4MMRIP - Pertinence de l'enseignements dans le cursus:","4MMRIP - Commentaires:","4MMSEPC - Qualité globale de l'enseignement :","4MMSEPC - Qualité des supports de l'enseignement :","4MMSEPC - Pertinence de l'enseignements dans le cursus:","4MMSEPC - Commentaires:","4MMALLS1 - Ce cours faisait-il partie de tes options ?","4MMALLS1 - Qualité globale de l'enseignement :","4MMALLS1 - Qualité des supports de l'enseignement :","4MMALLS1 - Pertinence de l'enseignements dans le cursus:","4MMALLS1 - Commentaires:","4MMAPMA - Ce cours faisait-il partie de tes options ?","4MMAPMA - Qualité globale de l'enseignement :","4MMAPMA - Qualité des supports de l'enseignement :","4MMAPMA - Pertinence de l'enseignements dans le cursus:","4MMAPMA - Commentaires:","4MMAUT6 - Ce cours faisait-il partie de tes options ?","4MMAUT6 - Qualité globale de l'enseignement :","4MMAUT6 - Qualité des supports de l'enseignement :","4MMAUT6 - Pertinence de l'enseignements dans le cursus:","4MMAUT6 - Commentaires:","4MMCECA1 - Ce cours faisait-il partie de tes options ?","4MMCECA1 - Qualité globale de l'enseignement :","4MMCECA1 - Qualité des supports de l'enseignement :","4MMCECA1 - Pertinence de l'enseignements dans le cursus:","4MMCECA1 - Commentaires:","4MMGAMN - Ce cours faisait-il partie de tes options ?","4MMGAMN - Qualité globale de l'enseignement :","4MMGAMN - Qualité des supports de l'enseignement :","4MMGAMN - Pertinence de l'enseignements dans le cursus:","4MMGAMN - Commentaires:","4MMMOS1 - Ce cours faisait-il partie de tes options ?","4MMMOS1 - Qualité globale de l'enseignement :","4MMMOS1 - Qualité des supports de l'enseignement :","4MMMOS1 - Pertinence de l'enseignements dans le cursus:","4MMMOS1 - Commentaires:","4MMMTA - Ce cours faisait-il partie de tes options ?","4MMMTA - Qualité globale de l'enseignement :","4MMMTA - Qualité des supports de l'enseignement :","4MMMTA - Pertinence de l'enseignements dans le cursus:","4MMMTA - Commentaires:","4MMSANG - Ce cours faisait-il partie de tes options ?","4MMSANG - Qualité globale de l'enseignement :","4MMSANG - Qualité des supports de l'enseignement :","4MMSANG - Pertinence de l'enseignements dans le cursus:","4MMSANG - Commentaires:","4MMSM - Ce cours faisait-il partie de tes options ?","4MMSM - Qualité globale de l'enseignement :","4MMSM - Qualité des supports de l'enseignement :","4MMSM - Pertinence de l'enseignements dans le cursus:","4MMSM - Commentaires:","4MMTANS1 - Ce cours faisait-il partie de tes options ?","4MMTANS1 - Qualité globale de l'enseignement :","4MMTANS1 - Qualité des supports de l'enseignement :","4MMTANS1 - Pertinence de l'enseignements dans le cursus:","4MMTANS1 - Commentaires:","4MMTDI - Ce cours faisait-il partie de tes options ?","4MMTDI - Qualité globale de l'enseignement :","4MMTDI - Qualité des supports de l'enseignement :","4MMTDI - Pertinence de l'enseignements dans le cursus:","4MMTDI - Commentaires:","4MMTLCMN - Ce cours faisait-il partie de tes options ?","4MMTLCMN - Qualité globale de l'enseignement :","4MMTLCMN - Qualité des supports de l'enseignement :","4MMTLCMN - Pertinence de l'enseignements dans le cursus:","4MMTLCMN - Commentaires:","2AISSC - Le semestre passé a-t-il globalement correspondu à tes attentes ?","2AISSC - Les différents modules sont bien équilibrés.","2AISSC - Commentaires:"
"2017/01/18 7:03:42 pm CET","3","5","3","La présentation orale sur la création d'une entreprise a pris beaucoup trop de temps par rapport à la totalité des cours. Cela nécessitait plus d'imagination et d'improvisation que de réel travail en anglais. 
Je préfèrerai qu'on étudie plus de LANGUE et moins d'activités parallèles.
Des classes par niveau, ou par necessité de s'améliorer plutôt a l'oral ou à l'écrit serait plus pertinente. Nous n'avons pas du tout travaillé le bulats.","1","1","1","Le prof n'était pas du tout à l'écoute des étudiants, il cherchait à nous rabaisser plutôt qu'à nous aider. 
Le partiel ne correspondait pas DU TOUT a ce qu'on avait vu en cours. Il a mis 20 à des personnes sur un critère assez subjectif. 
Aucune note entre 10 et 20 au partiel.","3","3","3","Multiactivité - Ce sont les élèves qui font toutes les séances donc on n'apprend aucun sport c'est un peu dommage.

Les profs ont tendance à privilégier les garçons dès qu'il faut choisir quelqu'un et à attendre un comportement ""managérial"" différents des garçons et des filles.","4","4","4","","6","6","6","","5","5","6","Les cours était un peu trop regroupés au début, et peut être un peu trop long.","5","5","5","","4","3","6","Les conférences sont très bien, devoir remplir les questionnaires à chaque fois pourquoi pas. Par contre le rendu de fin ne me parait pas très utile.","5","3","6","Je n'ai pas trop aimé le concept de cours inversé et le fait que le prof corrige les élèves individuellement plutôt que d'aider tout le monde à avancer au même rythme. Le planning de td et cours donné n'était plus suivi au cours de l'année.","6","6","6","","Oui","5","4","6","Espagnol - Le cours était un peu lent. C'est bien de faire de l'oral mais j'aurais aimé faire un peu d'écrit aussi","Oui","4","4","5","Il manquait un peu des TP.
C'est dommage que notre cours d'algo soit en ADA alors que c'est le langage qu'on maitrise le moins. Donc double difficulté.","Non","","","","","Non","","","","","Oui","6","6","6","","Oui","3","3","3","Les TD n'était pas très utiles à mon avis. ","Non","","","","","Non","","","","","Oui","3","3","3","Les cours sont trop lent. ","Non","","","","","Non","","","","","Oui","4","4","6","","6","4","L'UE réseau IP et codage et sécu et un peu lourde"
"2017/01/19 10:22:43 am CET","5","5","5","Pour le coup, l'évaluation de cette matière dépend beaucoup de l'enseignant.","3","4","5","","2","4","2","","4","5","5","","5","5","5","","5","5","5","","5","5","5","","3","4","3","","2","3","5","","5","5","5","","Non","","","","","Oui","5","5","5","","Non","","","","","Non","","","","","Oui","5","5","5","","Oui","3","3","2","Je ne vois pas ce que j'ai appris dans ce cours. Tout n'était que du bon sens ...","Oui","6","6","4","","Non","","","","","Oui","4","4","3","","Non","","","","","Non","","","","","Oui","4","4","4","","5","3",""
"2017/01/19 12:23:33 pm CET","6","6","6","","5","4","5","","6","6","6","Dispensé","4","4","5","","6","6","6","","6","6","6","","6","6","6","","4","4","4","","6","5","6","","6","6","6","","Non","","","","","Oui","6","5","6","","Non","","","","","Non","","","","","Oui","6","6","6","","Oui","5","5","5","","Non","","","","","Non","","","","","Oui","5","5","4","","Non","","","","","Non","","","","","Oui","5","6","6","","6","5",""
"2017/01/19 6:25:38 pm CET","5","5","5","","1","1","5","Le professeur passe trop de temps à nous menacer que l'on aura zéro au lieu de d'essayer de nous enseigner. La note à l'examen n'est pas représentative des apprentissages que nous avons fait. Certaines personnes ont eu 20/20 en tapant leur code de hachage dans google. Mon commentaire constructif est donc d'axer les cours sur l'apprentissage (et non les menaces) et de faire un examen qui sera représentatif de la maitrise des logiciels appris en cours.","5","5","5","","3","3","6","","6","6","5","","6","6","6","","6","6","6","","4","4","4","","5","5","5","","4","4","4","","Oui","5","5","5","","Oui","5","5","5","","Non","","","","","Non","","","","","Oui","5","5","5","","Oui","5","5","5","","Non","","","","","Non","","","","","Oui","5","5","5","","Non","","","","","Non","","","","","Oui","5","5","5","","5","5",""
"2017/01/25 12:20:49 pm CET","4","4","5","","1","1","6","Partiel complétement hors sujet et profondément injuste","5","5","4","","5","5","5","","5","5","5","","5","5","5","","6","6","6","","3","3","4","","5","5","6","","4","5","5","","Non","","","","","Oui","5","5","5","","Non","","","","","Non","","","","","Oui","5","5","5","","Oui","4","3","4","","Oui","5","3","5","","Non","","","","","Oui","4","3","4","","Non","","","","","Non","","","","","Oui","4","4","5","","5","4",""
"2017/01/30 2:10:24 pm CET","4","3","6","","5","5","6","","3","1","5","","2","2","1","","6","6","6","","5","4","6","","6","6","6","","5","5","3","","5","4","6","","6","6","6","","Non","","","","","Oui","5","5","4","","Non","","","","","Non","","","","","Oui","6","6","6","","Oui","3","3","1","","Oui","5","5","1","","Non","","","","","Oui","3","3","1","","Non","","","","","Non","","","","","Oui","3","5","5","","5","4",""
"2017/01/30 7:08:06 pm CET","4","1","4","","1","1","6","","5","1","4","","5","1","6","","6","4","3","","6","1","5","","5","3","6","","1","1","1","","3","3","6","","6","5","5","","Non","","","","","Oui","3","1","2","","Non","","","","","Oui","2","2","2","","Oui","5","4","5","","Non","","","","","Oui","6","6","2","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Oui","1","1","4","","2","4",""
"2017/01/30 11:09:24 pm CET","6","6","6","","4","2","5","","5","5","5","Problème d'horaires et d'inscription...","5","4","6","","5","5","5","","5","5","5","","5","5","5","","4","4","4","","5","5","6","","5","3","5","","Non","","","","","Non","","","","","Oui","5","3","4","","Non","","","","","Non","","","","","Non","","","","","Oui","5","4","5","","Non","","","","","Oui","4","4","5","","Non","","","","","Oui","4","3","4","","Non","","","","","4","5",""
"2017/02/06 11:46:11 am CET","6","5","5","","5","4","5","","5","5","5","","4","3","3","","5","4","4","","4","3","5","","5","5","6","","3","3","3","","4","3","5","","6","6","6","","Non","","","","","Oui","5","5","5","","Non","","","","","Oui","4","4","4","","Oui","4","4","4","","Non","","","","","Oui","4","4","2","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Oui","5","4","5","","5","5",""
"2017/02/06 3:58:11 pm CET","6","3","6","","5","6","6","","6","1","5","Inscription mal organisée","4","6","5","","6","6","6","","6","6","6","","5","6","6","","5","3","6","","6","5","6","","6","6","6","","Non","","","","","Oui","5","6","6","","Non","","","","","Oui","5","2","4","","Oui","5","6","3","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Oui","5","5","5","","6","6",""
