"Timestamp","4MMANGS1 - Qualité globale de l'enseignement :","4MMANGS1 - Qualité des supports de l'enseignement :","4MMANGS1 - Pertinence de l'enseignement dans le cursus:","4MMANGS1 - Commentaires:","4MMEPSS1 - Qualité globale de l'enseignement :","4MMEPSS1 - Qualité des supports de l'enseignement :","4MMEPSS1 - Pertinence de l'enseignement dans le cursus:","4MMEPSS1 - Commentaires:","4MMGDPGL - Qualité globale de l'enseignement :","4MMGDPGL - Qualité des supports de l'enseignement :","4MMGDPGL - Pertinence de l'enseignement dans le cursus:","4MMGDPGL - Commentaires:","4MMPBD - Qualité globale de l'enseignement :","4MMPBD - Qualité des supports de l'enseignement :","4MMPBD - Pertinence de l'enseignement dans le cursus:","4MMPBD - Commentaires:","4MMPGL6 - Qualité globale de l'enseignement :","4MMPGL6 - Qualité des supports de l'enseignement :","4MMPGL6 - Pertinence de l'enseignement dans le cursus:","4MMPGL6 - Commentaires:","4MMPOO6 - Qualité globale de l'enseignement :","4MMPOO6 - Qualité des supports de l'enseignement :","4MMPOO6 - Pertinence de l'enseignement dans le cursus:","4MMPOO6 - Commentaires:","4MMPPIP - Qualité globale de l'enseignement :","4MMPPIP - Qualité des supports de l'enseignement :","4MMPPIP - Pertinence de l'enseignement dans le cursus:","4MMPPIP - Commentaires:","4MMPSGBD - Qualité globale de l'enseignement :","4MMPSGBD - Qualité des supports de l'enseignement :","4MMPSGBD - Pertinence de l'enseignement dans le cursus:","4MMPSGBD - Commentaires:","4MMAFCD6 - Ce cours faisait-il partie de tes options ?","4MMAFCD6 - Qualité globale de l'enseignement :","4MMAFCD6 - Qualité des supports de l'enseignement :","4MMAFCD6 - Pertinence de l'enseignement dans le cursus:","4MMAFCD6 - Commentaires:","4MMALLS1 - Ce cours faisait-il partie de tes options ?","4MMALLS1 - Qualité globale de l'enseignement :","4MMALLS1 - Qualité des supports de l'enseignement :","4MMALLS1 - Pertinence de l'enseignement dans le cursus:","4MMALLS1 - Commentaires:","4MMCECA1 - Ce cours faisait-il partie de tes options ?","4MMCECA1 - Qualité globale de l'enseignement :","4MMCECA1 - Qualité des supports de l'enseignement :","4MMCECA1 - Pertinence de l'enseignement dans le cursus:","4MMCECA1 - Commentaires:","4MMMEDP6 - Ce cours faisait-il partie de tes options ?","4MMMEDP6 - Qualité globale de l'enseignement :","4MMMEDP6 - Qualité des supports de l'enseignement :","4MMMEDP6 - Pertinence de l'enseignement dans le cursus:","4MMMEDP6 - Commentaires:","4MMMG6 - Ce cours faisait-il partie de tes options ?","4MMMG6 - Qualité globale de l'enseignement :","4MMMG6 - Qualité des supports de l'enseignement :","4MMMG6 - Pertinence de l'enseignement dans le cursus:","4MMMG6 - Commentaires:","4MMMOS1 - Ce cours faisait-il partie de tes options ?","4MMMOS1 - Qualité globale de l'enseignement :","4MMMOS1 - Qualité des supports de l'enseignement :","4MMMOS1 - Pertinence de l'enseignement dans le cursus:","4MMMOS1 - Commentaires:","4MMMPA6 - Ce cours faisait-il partie de tes options ?","4MMMPA6 - Qualité globale de l'enseignement :","4MMMPA6 - Qualité des supports de l'enseignement :","4MMMPA6 - Pertinence de l'enseignement dans le cursus:","4MMMPA6 - Commentaires:","4MMMTA - Ce cours faisait-il partie de tes options ?","4MMMTA - Qualité globale de l'enseignement :","4MMMTA - Qualité des supports de l'enseignement :","4MMMTA - Pertinence de l'enseignement dans le cursus:","4MMMTA - Commentaires:","4MMOC6 - Ce cours faisait-il partie de tes options ?","4MMOC6 - Qualité globale de l'enseignement :","4MMOC6 - Qualité des supports de l'enseignement :","4MMOC6 - Pertinence de l'enseignement dans le cursus:","4MMOC6 - Commentaires:","4MMSANG - Ce cours faisait-il partie de tes options ?","4MMSANG - Qualité globale de l'enseignement :","4MMSANG - Qualité des supports de l'enseignement :","4MMSANG - Pertinence de l'enseignement dans le cursus:","4MMSANG - Commentaires:","4MMSD6 - Ce cours faisait-il partie de tes options ?","4MMSD6 - Qualité globale de l'enseignement :","4MMSD6 - Qualité des supports de l'enseignement :","4MMSD6 - Pertinence de l'enseignement dans le cursus:","4MMSD6 - Commentaires:","4MMSM - Ce cours faisait-il partie de tes options ?","4MMSM - Qualité globale de l'enseignement :","4MMSM - Qualité des supports de l'enseignement :","4MMSM - Pertinence de l'enseignement dans le cursus:","4MMSM - Commentaires:","4MMTANS1 - Ce cours faisait-il partie de tes options ?","4MMTANS1 - Qualité globale de l'enseignement :","4MMTANS1 - Qualité des supports de l'enseignement :","4MMTANS1 - Pertinence de l'enseignement dans le cursus:","4MMTANS1 - Commentaires:","2AMMIS - Le semestre passé a-t-il globalement correspondu à tes attentes ?","2AMMIS - Les différents modules sont bien équilibrés.","2AMMIS - Commentaires:"
"2017/01/18 5:42:12 pm CET","3","5","4","","6","3","6","","3","2","3","","4","2","5","","4","4","5","Très déçu par l'inéfficacité de notre prof (Idani Akram). Par exemple alors que tout le monde reçoit ses notes de rendu intermédiaire sauf ceux avec akram..","6","6","6","","3","5","3","Atelier CV = super. Conf métier = à mieux travailler pour que ca soit vraiment pertinent","4","2","4","","Oui","3","6","5","Les cours sont un peu trop durs, et le prof va vite et considère un peu trop qu'on a la science infuse","Oui","4","6","2","","Oui","4","6","5","","Oui","5","4","6","","Oui","6","2","6","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Oui","5","5","5","","Non","","","","","Non","","","","","5","2","Les modules n'étaient pas trop équilibrés dans le sens que Systeme dynamique et analyse étaient ensemble et c'était les matières les plus ""casse gueule"""
"2017/01/18 7:03:40 pm CET","5","3","4","Seul point négatif : les corrections de Toeic étaient parfois inutiles car nous n'avions pas systèmatiquement les raisons pour lesquelles nous avions juste ou pas, il faudrait donc un peu plus d'explications parfois. ","5","6","6","","5","6","6","","4","4","6","Une petite réserve concernant les choix des exemples traités en cours : le sujet sur la conquête spatiale était un peu trop fournis pour bien comprendre ce qu'il y avait à faire, par ailleurs malgré les multiples demandes nous n'avons pas eu accès aux slides de cette partie du cours. ","5","5","6","Work in progress","6","6","6","Les fiches étaient bien faites et pas trop longues à lire. ","4","3","6","Je ne sais pas si c'est lié à ce cours mais l'atelier CV prévu avec l'entreprise Applidium n'a jamais eu lieu. ","4","3","6","","Non","","","","","Oui","4","3","4","J'ai trouvé le niveau un peu trop difficile, j'ai beaucoup perdu en niveau pendant la prépa et je ne pense pas que les cours soient adaptés à ma situation et à celles de plusieurs de mes camarades","Oui","5","4","6","","Oui","6","5","6","","Oui","5","4","5","Partiel assez différent de l'esprit des TD et DM, je ne m'y attendais pas ","Non","","","","","Oui","6","6","6","","Non","","","","","Oui","6","4","6","Un peu plus de détails dans certains polys aurait été appréciable (plus d'exemples d'applications) mais dans l'ensemble le cours était bon et intéressant. ","Non","","","","","Non","","","","","Non","","","","","Non","","","","","4","5",""
"2017/01/18 7:04:37 pm CET","4","4","5","La simulation d'entretien en anglais et l'atelier CV - lettre m'ont beaucoup plu et apporté. J'ai moins aimé la partie ""création d'entreprise"" avec les présentations.","2","2","2","Multi-activités : toujours les mêmes activités qui reviennent, sortie ski sympa mais un peu courte et c'est assez handicapant pendant le projet GL ","3","3","3","","6","6","6","C'est bien d'avoir un gros projet pour appliquer les notions vues en cours. ","5","5","6","Les cours n'étaient peut-être pas placés aux bons moments (parties B et C présentées trop tôt) - peut être à intervertir avec le dernier cours sur la gestion d'équipe","6","6","6","","3","3","3","Les conférences abordent souvent les mêmes thèmes (notamment la finance) et les plus grands amphis ne sont pas donnés aux conférences les plus interessantes (pour la majorité des étudiants)","5","5","6","","Oui","3","3","3","Le cours devrait s'adapter à notre niveau. ","Oui","6","6","6","Très intéressant d'aborder les médias, j'ai adoré ce cours qui nous ouvre un peu l'esprit et nous pousse à la reflexion.","Non","","","","","Non","","","","","Non","","","","","Oui","4","4","4","J'ai apprécié le cours mais pas les TDs ","Oui","5","5","5","","Non","","","","","Oui","5","5","5","","Non","","","","","Oui","5","5","5","Cours interessant sauf le dernier avec une démo trop compliquée. ","Oui","5","5","5","","Non","","","","","4","5",""
"2017/01/18 7:19:52 pm CET","5","5","6","","5","5","5","","5","6","5","","4","5","5","","5","6","6","","6","6","6","","5","5","6","","5","5","5","","Oui","5","5","6","","Non","","","","","Non","","","","","Oui","6","6","6","","Oui","5","5","6","","Oui","4","4","4","","Non","","","","","Oui","5","5","5","","Non","","","","","Non","","","","","Oui","5","4","5","","Oui","4","5","5","CM beaucoup trop long en durée","Non","","","","","6","6","A voir la répartition des modules (ceux qui n'ont pas pris le module géométrie 3D pouvait se faire des weekends à rallonge vu qu'il n'avait pas cours lundi matin et vendredi après-midi)"
"2017/01/19 8:39:21 am CET","5","5","6","","5","4","6","","4","4","4","","4","5","6","","5","5","6","","6","6","6","","4","4","5","","4","5","6","","Oui","4","5","5","","Oui","4","4","5","","Non","","","","","Oui","5","6","5","","Oui","4","5","6","","Oui","5","5","4","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Oui","5","5","5","","Oui","4","5","4","","Non","","","","","5","4",""
"2017/01/19 1:51:01 pm CET","6","4","5","","6","6","6","","3","3","4","","6","6","6","","6","6","6","","6","5","6","","4","4","4","","3","2","4","","Oui","5","5","6","","Oui","6","5","4","","Oui","3","1","4","","Non","","","","","Non","","","","","Non","","","","","Oui","5","6","6","","Non","","","","","Oui","6","3","5","","Non","","","","","Oui","5","4","5","","Non","","","","","Non","","","","","5","6",""
"2017/01/19 2:09:14 pm CET","5","5","4","","3","4","1","","5","4","5","","3","3","2","","5","4","4","","5","6","5","","2","2","2","","4","3","3","","Oui","4","4","4","","Oui","4","4","4","Lansad","Non","","","","","Oui","3","3","4","","Oui","6","5","6","","Oui","4","4","4","","Non","","","","","Non","","","","","Non","","","","","Non","","","","","Oui","5","5","5","","Oui","2","2","4","","Non","","","","","4","3",""
"2017/01/21 5:33:55 pm CET","5","3","5","","6","5","5","","4","3","3","","1","1","2","","5","3","3","","5","2","5","","2","2","1","","1","1","1","","Oui","3","3","4","","Non","","","","","Non","","","","","Oui","6","5","5","","Oui","1","2","4","","Oui","2","2","1","","Non","","","","","Oui","5","4","4","","Non","","","","","Oui","5","5","5","","Oui","4","5","4","","Oui","5","4","2","","Non","","","","","3","2",""
"2017/01/24 12:25:46 pm CET","3","3","6","","4","2","6","","4","5","3","","5","6","6","","1","4","3","Manque de retour du prof, réponse aux questions très lente","6","6","6","","1","2","2","","5","5","6","","Non","","","","","Oui","6","4","4","","Non","","","","","Oui","3","3","4","","Oui","3","3","5","","Oui","5","6","5","","Oui","6","6","6","Cours très concis et intéressant, les mini-projets sont bien pour appliquer le cours ","Non","","","","","Oui","3","4","5","Programme trop vaste pour un semestre, nous avons du survoler certaines parties","Non","","","","","Non","","","","","Oui","4","6","4","","Non","","","","","5","6",""
"2017/01/24 1:15:18 pm CET","5","5","6","","4","3","2","","6","6","6","","3","2","4","","6","6","5","","6","6","6","","4","4","4","","3","2","4","","Oui","6","6","6","","Oui","6","6","6","","Non","","","","","Oui","6","6","6","","Oui","4","4","6","Ce serait formidable d'essayer de mieux structurer et présenter le cours.","Oui","3","4","4","Les TDs sont-il vraiment pertinent ? J'avais la terrible sensation de me retrouver dans un centre aéré ...","Non","","","","","Oui","6","6","6","Excellent cours ! Très intéressant ! Très utile pour comprendre l'économie !","Non","","","","","Non","","","","","Oui","6","6","6","","Oui","6","6","6","Les TDs étaient très bien. Beaucoup de travail à fournir très rapidement mais très instructif.","Non","","","","","6","6","La filière MMIS est très bien structuré entre math et info. Les matières sont très intéressante et utiles !"
