"Timestamp","5MMANGL6 - Qualité globale de l'enseignement :","5MMANGL6 - Qualité des supports de l'enseignement :","5MMANGL6 - Pertinence de l'enseignement dans le cursus:","5MMANGL6 - Commentaires:","5MMCEAMC - Qualité globale de l'enseignement :","5MMCEAMC - Qualité des supports de l'enseignement :","5MMCEAMC - Pertinence de l'enseignement dans le cursus:","5MMCEAMC - Commentaires:","5MMCTSL0 - Qualité globale de l'enseignement :","5MMCTSL0 - Qualité des supports de l'enseignement :","5MMCTSL0 - Pertinence de l'enseignement dans le cursus:","5MMCTSL0 - Commentaires:","5MMECIS - Qualité globale de l'enseignement :","5MMECIS - Qualité des supports de l'enseignement :","5MMECIS - Pertinence de l'enseignement dans le cursus:","5MMECIS - Commentaires:","5MMIM - Qualité globale de l'enseignement :","5MMIM - Qualité des supports de l'enseignement :","5MMIM - Pertinence de l'enseignement dans le cursus:","5MMIM - Commentaires:","5MMMTSP - Qualité globale de l'enseignement :","5MMMTSP - Qualité des supports de l'enseignement :","5MMMTSP - Pertinence de l'enseignement dans le cursus:","5MMMTSP - Commentaires:","5MMREX - Ce cours faisait-il partie de tes options ?","5MMREX - Qualité globale de l'enseignement :","5MMREX - Qualité des supports de l'enseignement :","5MMREX - Pertinence de l'enseignement dans le cursus:","5MMREX - Commentaires:","5MMSD3 - Qualité globale de l'enseignement :","5MMSD3 - Qualité des supports de l'enseignement :","5MMSD3 - Pertinence de l'enseignement dans le cursus:","5MMSD3 - Commentaires:","5MMSSE - Qualité globale de l'enseignement :","5MMSSE - Qualité des supports de l'enseignement :","5MMSSE - Pertinence de l'enseignement dans le cursus:","5MMSSE - Commentaires:","5MMSTAG - Qualité globale de l'enseignement :","5MMSTAG - Qualité des supports de l'enseignement :","5MMSTAG - Pertinence de l'enseignement dans le cursus:","5MMSTAG - Commentaires:","5MMSTRMR - Qualité globale de l'enseignement :","5MMSTRMR - Qualité des supports de l'enseignement :","5MMSTRMR - Pertinence de l'enseignement dans le cursus:","5MMSTRMR - Commentaires:","5MMTF - Qualité globale de l'enseignement :","5MMTF - Qualité des supports de l'enseignement :","5MMTF - Pertinence de l'enseignement dans le cursus:","5MMTF - Commentaires:","5MMVSE - Qualité globale de l'enseignement :","5MMVSE - Qualité des supports de l'enseignement :","5MMVSE - Pertinence de l'enseignement dans le cursus:","5MMVSE - Commentaires:","5MMALL6 - Ce cours faisait-il partie de tes options ?","5MMALL6 - Qualité globale de l'enseignement :","5MMALL6 - Qualité des supports de l'enseignement :","5MMALL6 - Pertinence de l'enseignement dans le cursus:","5MMALL6 - Commentaires:","5MMAPSA - Ce cours faisait-il partie de tes options ?","5MMAPSA - Qualité globale de l'enseignement :","5MMAPSA - Qualité des supports de l'enseignement :","5MMAPSA - Pertinence de l'enseignement dans le cursus:","5MMAPSA - Commentaires:","5MMDROI6 - Ce cours faisait-il partie de tes options ?","5MMDROI6 - Qualité globale de l'enseignement :","5MMDROI6 - Qualité des supports de l'enseignement :","5MMDROI6 - Pertinence de l'enseignement dans le cursus:","5MMDROI6 - Commentaires:","5MMEPOL6 - Ce cours faisait-il partie de tes options ?","5MMEPOL6 - Qualité globale de l'enseignement :","5MMEPOL6 - Qualité des supports de l'enseignement :","5MMEPOL6 - Pertinence de l'enseignement dans le cursus:","5MMEPOL6 - Commentaires:","5MMSANG - Ce cours faisait-il partie de tes options ?","5MMSANG - Qualité globale de l'enseignement :","5MMSANG - Qualité des supports de l'enseignement :","5MMSANG - Pertinence de l'enseignement dans le cursus:","5MMSANG - Commentaires:","5MMTAND - Ce cours faisait-il partie de tes options ?","5MMTAND - Qualité globale de l'enseignement :","5MMTAND - Qualité des supports de l'enseignement :","5MMTAND - Pertinence de l'enseignement dans le cursus:","5MMTAND - Commentaires:","3ASLE - Le semestre passé a-t-il globalement correspondu à tes attentes ?","3ASLE - Les différents modules sont bien équilibrés.","3ASLE - Commentaires:"
"2017/01/18 10:38:37 am CET","3","4","4","","3","3","5","","2","1","4","","3","2","6","","2","5","1","","5","6","6","","Oui","4","4","5","","5","2","6","","4","3","6","","6","6","6","","4","4","6","","5","4","6","","5","6","6","","Non","","","","","Non","","","","","Non","","","","","Oui","6","6","4","","Non","","","","","Non","","","","","5","6",""
"2017/01/18 11:48:18 am CET","6","6","6","","6","5","5","","5","6","5","","2","1","5","Un projet passionnant avec un cadrant super COMPLÈTEMENT gâché par l'environnement de travail : on travaille sur des ordinateurs vieux de PLUS de 10 ans et des écrans 4/3. On perd énormément de temps sur des choses telles que récupérer les librairies, compiler etc. On ne peut même pas utiliser de navigateur internet à cause de problèmes de cache et de quotas à respecter. C'est tellement dommage... ","5","4","2","","6","6","5","","Oui","5","4","4","","6","6","6","","5","5","6","","6","3","6","Peu de communication sur qui gère le stage quand on est étudiant phelma","4","5","3","","6","6","6","","5","6","4","","Non","","","","","Non","","","","","Non","","","","","Oui","6","5","6","","Non","","","","","Non","","","","","6","5",""
"2017/01/18 12:14:36 pm CET","5","5","4","Comme pour les années précédentes, il manque l'enseignement de l'anglais technique. Faire des présentations de projet / technologie en cours d'anglais serait déjà un bon départ","6","5","6","","4","4","4","Certaines conférences ont été très intéressantes (Interprétation abstraite, OS temps réel, supercalculateur sur puce). D'autres étaient très peu technique, voir sans aucun lien avec notre formation (physique quantique).","4","5","6","","1","3","1","Encore un cours de SHEME qui n'a aucune pertinence avec la formation d'ingénieur Ensimag malgré ce que puisse dire les enseignants de cette matière","4","6","6","Il est très facile de décrocher pendant les innombrables slides de présentation du SystemC","Oui","4","4","3","","6","6","6","","5","5","3","","5","5","6","","2","3","4","","4","4","3","","2","2","2","","Non","","","","","Non","","","","","Non","","","","","Oui","6","5","5","","Non","","","","","Non","","","","","3","3","Beaucoup de cours ""génériques"". Il manque une approche de la programmation sur système embarqué : bootloader, manipulation d'un RTOS (uniquement vu en théorie jusque là !), etc"
"2017/01/18 12:57:42 pm CET","3","5","5","","3","4","6","","1","5","5","Les rapports de conférence technologiques sont effectivement nécessaires, mais prennent beaucoup de temps à réaliser. Certaines filières n'ont pas à faire de rapport pour chaque conférence. ","4","4","5","","1","1","2","Mal organisé et manquant d'intérêt","2","5","5","L'obsession du professeur concernant les bonnes pratiques nuit à l'apprentissage effectif de connaissances. ","Oui","5","3","5","","5","5","5","","5","5","5","","4","4","4","Ce n'est pas vraiment une matière","5","5","5","","4","5","5","","5","5","5","","Non","","","","","Non","","","","","Oui","4","5","4","","Non","","","","","Non","","","","","Non","","","","","5","4","Une fois le stage trouvé, il est difficile de consacrer du temps et de l'énergie pour des matières dont on sait qu'elles n'auront pas leur place dans notre future vie professionnelle. Mais l'année est cohérente au niveau des enseignements."
"2017/01/18 1:29:02 pm CET","4","6","6","Je n'ai pas le sentiment d'avoir beaucoup appris en anglais au cours de ce semestre, peut être que des discussions orales auraient été les bienvenues","5","5","5","","5","4","4","","3","3","5","Je regrette qu'il n'y avait aucun sujet proposant du systemC/TLM","2","2","2","","6","6","6","","Oui","5","3","5","","6","2","5","Je regrett qu'il n'y ait pas de pdf de référence","4","3","3","J'aurais préféré que ce cours soit une option","6","3","6","","5","6","6","","3","4","4","un cours plus synthétique et/ou avec plus de pratique (TD/TP) aurait été plus productif","5","5","5","","Non","","","","","Non","","","","","Non","","","","","Oui","6","4","4","","Non","","","","","Non","","","","","3","4",""
"2017/01/18 1:47:25 pm CET","5","5","5","","4","4","4","","3","5","2","","6","6","6","","1","1","1","","5","6","4","","Oui","5","5","4","","4","4","4","","4","6","4","","4","4","6","","2","5","5","","5","6","5","","5","5","5","","Non","","","","","Non","","","","","Non","","","","","Oui","6","6","6","","Non","","","","","Non","","","","","2","4",""
"2017/01/18 2:24:16 pm CET","3","4","3","","2","2","4","Que dire .. M. Mancini ne sait pas faire la différence entre ses recherches dans le monde vidéo et les cours qui n'ont que peu de rapport avec ceci. Ajoutez une touche de condescendance, et vous avez un bon aperçu de ce professeur et donc de son cours. De plus, très décousu. Partie Petrot ok et intéressante","2","3","1","","3","3","6","Notes neutres car c'est un travail d'autonomie. C'est certainement la matière la plus en rapport avec un cursus de dernière année. La théorie au bout d'un moment c'est bien mais en 3ème année un élève est capable de faire des recherches sur les points nécessaires à son travail et d'être un minimum autodidacte et autonome. Plus de projet serait cohérent.","1","1","1","Sérieusement, c'est une blague ? Vous ne savez pas ou mettre les ECTS ?","4","4","4","","Oui","3","3","3","","4","4","4","","5","5","5","","3","3","6","","1","1","1","","3","3","4","","3","2","4","","Non","","","","","Non","","","","","Oui","4","4","4","","Non","","","","","Non","","","","","Non","","","","","1","3","Dernière année ? Année ""d'expertise"" ? Non. Hormis le projet SLE qui a entièrement sa place en demandant enfin aux élèves de l'autonomie et de la débrouillardise, cette année se révèle être une année décousue, avec des cours bouche-trou. Une dernière année d'étude d'école d'ingénieur est pour moi une année ou le niveau imposé aux élèves augmente d'un cran, un cap à passer. Ici, il s'avère qu'on revoit dans 3 cours différents 3 fois la même chose, cette chose ayant de plus souvent été déjà vue les années passées. Je ne suis pas satisfait de cette dernière année, j'ai le sentiment de ne rien avoir appris de particulier."
"2017/01/18 5:45:03 pm CET","6","6","6","","3","3","4","Ce cours est intéressant car il apporte de la culture scientifique et les TPs apportent un vrai plus. Attention, beaucoup de choses sont redondantes avec d'autres cours. ","4","6","5","Les conférences sont un vrai plus dans notre cursus, merci d'avoir organisé cela. La notation par contre est bcp trop fastidieuse est inadaptée. Cela demande beaucoup trop de temps. Pourquoi ne pas demander 1 rapport (tiré au hazard parmi les conf) par personne. Cela serait bcp plus proportionné vis-à-vis de la quantité de travail à fournir et au temps passé.","6","6","6","Notre projet était l'un des seuls original. Nous l'avons beaucoup aimé. Mais beaucoup trop de sujets sur la cryptographie et la sécurité. SLE veut il dire sécurité ? Ou alors les profs de SLE sont tous du même labo ? ","1","1","1","dispensé de ce cours","5","5","5","Heureusement qu'il y avait des TP. Mais comment est ce que l'on peut demander de faire de respecter un coding style alors que TOUTES les sources ne respectent pas le coding style... ","Oui","3","3","3","RAS","6","5","6","Un cours d'initiation aux systèmes distribués accompagné d'un TP très formateur, merci au prof","1","2","1","Cours bien trop long et ennuyeux. Que de la théorie sur du matériel, or se ne sera pas notre travail, pour la grande majorité d'entre nous. Un cours d'initiation aurait été bien plus efficace. Les TP n'ont absolument rien apporté, il a suffit de cliquer aux endroits demandés.","6","6","6","RAS","1","1","1","Comment expliquer à un chef d'entreprise que la seule expérience que l'on a en embarqué est la pseudo ""programmation"" d'un robot lego ? Le cours est totalement inutile au TP (juste des slides ulta théorique qui défilent et la prof qui nous dit ""toutes ces formules sont inutiles"") pendant des heures, pour qu'à la fin, on doivent changer 1 variable, et écrire 3 lignes de codes écrites l'année dernière. Oui, car cela fait 2 ans que l'on doit subir ce cours totalement désuet de sens. J'éspère que ce cours sera vite supprimé car j'ai honte de parler de cette unique expérience en école d'ingénieur.","3","3","3","Cours bcp trop théorique et bien trop inintéressant. On a parlé 2 cours de software contre au moins 5 de Hardware. Dans SLE il y a Logiciel, on en a presque pas fait ce semestre.","1","1","1","Cours intéressant mais bcp trop long, trop de cours et pas assez de concret.","Non","","","","","Non","","","","","Oui","6","6","6","RAS","Non","","","","","Non","","","","","Non","","","","","1","3","Semestre extrêmement décevant. Autant la deuxième année fut extrêmement enrichissante, autant la 3A fut pour moi une perte de temps. Je n'avais jamais envi d'aller à un cours, ils m'ont presque tous paru ininteressant, donné par des profs d'un même labo qui nous ont tous répéter les même choses au 3 premieres séance de cours. J'ai eu l'impression que certain cours existait pour justifier l'emploie de certain chercheur. J'aurais du partir à l'étranger."
"2017/01/18 6:25:18 pm CET","5","5","5","","4","4","5","","4","3","5","Certaines conférences n'étaient pas assez techniques","2","3","5","Cela dépend vraiment du sujet du projet ...","3","4","3","Certains cours étaient inéfficaces (les fiches étincelles). Sinon, pour le reste cela était intérressant","5","5","5","","Oui","2","2","2","","5","5","5","","4","3","5","Les TPs étaient bien encadrés et intéressant","4","2","5","","5","5","5","","3","3","4","Diapos pas toujours très clair et structurés","4","4","4","","Non","","","","","Non","","","","","Oui","4","4","4","Même si le cours est le lundi 17h, cela reste supportable car le professeur arrive bien à capter notre attention avec de bon exemples pour comprendre la théorie ","Non","","","","","Non","","","","","Non","","","","","4","4",""
"2017/01/18 10:48:55 pm CET","4","4","4","","4","4","6","Le format de la première partie du cours (M. Mancini) devrait être revu. (format trop ""catalogue"" qui ne permet pas d'identifier et retenir les éléments essentiels) ","4","4","4","","4","4","5","","3","3","2","Se contente de survoler complètement un sujet. Les attentes sont obscures, et ne correspondent pas à l'""importance"" de la matière. Sous cette forme, le cours n'apporte quasiment rien. Il faudrait soit l'abandonner soit au contraire le développer pour qu'il y ait un réel intérêt.","5","5","5","","Oui","4","3","4","","5","5","5","","5","4","5","","5","4","6","","4","4","4","","5","4","6","","5","5","5","","Non","","","","","Non","","","","","Oui","6","5","5","","Non","","","","","Non","","","","","Non","","","","","4","4",""
